"filename", "language", "JavaScript", "CSS", "JavaScript React", "comment", "blank", "total"
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\App.jsx", "JavaScript React", 0, 0, 19, 0, 4, 23
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\actions\getPlayersOfOneTeam.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\Details\Details.jsx", "JavaScript React", 0, 0, 116, 0, 12, 128
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\Details\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\DiagramViz\DiagramViz.jsx", "JavaScript React", 0, 0, 70, 0, 9, 79
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\DiagramViz\GraphModel\GraphModel.jsx", "JavaScript React", 0, 0, 4, 0, 2, 6
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\DiagramViz\GraphModel\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\DiagramViz\RelModel\RelModel.jsx", "JavaScript React", 0, 0, 54, 0, 8, 62
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\DiagramViz\RelModel\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\DiagramViz\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\Header\Header.jsx", "JavaScript React", 0, 0, 42, 0, 6, 48
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\Header\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\ReportExplorer.jsx", "JavaScript React", 0, 0, 76, 0, 7, 83
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\ReportGroup.jsx", "JavaScript React", 0, 0, 123, 0, 17, 140
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\Selector.jsx", "JavaScript React", 0, 0, 81, 1, 9, 91
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\collections\players.js", "JavaScript", 553, 0, 0, 0, 1, 554
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\reportGroups.js", "JavaScript", 122, 0, 0, 0, 2, 124
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\comps\ReportExplorer\selectors.js", "JavaScript", 32, 0, 0, 0, 1, 33
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\index.css", "CSS", 0, 47, 0, 0, 6, 53
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\pages\Home.jsx", "JavaScript React", 0, 0, 30, 0, 4, 34
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\recoil\atoms\details.js", "JavaScript", 5, 0, 0, 0, 1, 6
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\recoil\atoms\ids.js", "JavaScript", 2, 0, 0, 0, 1, 3
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\recoil\atoms\index.js", "JavaScript", 4, 0, 0, 0, 0, 4
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\recoil\atoms\rgdb.js", "JavaScript", 2, 0, 0, 0, 2, 4
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\recoil\atoms\tables.js", "JavaScript", 2, 0, 0, 0, 1, 3
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\recoil\index.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"d:\Documents\Projects\rgdbcomp\rgdbcomp-web\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 761, 47, 615, 8, 102, 1533
